Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Tensleep Sandstone,3039000.0,7200.0,50.0,175.0
Tensleep Sandstone Deep,1256000.0,16000.0,35.0,100.0
Ervay Member,2676000.0,7000.0,40.0,60.0
Ervay Member Deep,1162000.0,16000.0,40.0,60.0
Crow Mountain Sandstone,2583000.0,7000.0,20.0,60.0
Crow Mountain Sandstone Deep,1064000.0,16000.0,20.0,60.0
Cloverly Formation,2303000.0,7000.0,120.0,240.0
Cloverly Formation Deep,945000.0,16000.0,110.0,220.0
Muddy Sandstone,2327000.0,7000.0,18.0,30.0
Muddy Sandstone Deep,737000.0,15000.0,18.0,30.0
Frontier Sandstone,2157000.0,8000.0,100.0,750.0
Frontier Sandstone Deep,653000.0,15500.0,115.0,680.0
