Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Paleozoic Composite,4661000.0,5900.0,500.0,800.0
Paleozoic Composite Deep,9487000.0,16000.0,900.0,1400.0
Nugget Sandstone,679000.0,5200.0,280.0,850.0
Nugget Sandstone Deep,5975000.0,15200.0,300.0,900.0
Muddy Sandstone and Cloverly Formation,9251000.0,8400.0,96.0,240.0
Muddy Sandstone and Cloverly Formation Deep,4758000.0,15100.0,110.0,270.0
Frontier Sandstone,6011000.0,8800.0,100.0,400.0
Frontier Sandstone Deep,7134000.0,14900.0,100.0,400.0
"Hilliard, Baxter, and Mancos Shales",8470000.0,8500.0,300.0,5000.0
"Hilliard, Baxter, and Mancos Shales Deep",1244000.0,16000.0,300.0,5000.0
Mesaverde Group,4420000.0,9000.0,730.0,2600.0
Mesaverde Group Deep,668000.0,15000.0,700.0,2500.0
Dad Member,4188000.0,8000.0,200.0,2000.0
Dad Member Deep,340000.0,15000.0,450.0,2000.0
