Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Tensleep Sandstone,1664000.0,7000.0,80.0,350.0
Tensleep Sandstone Deep,1991000.0,20000.0,50.0,350.0
Nugget and Crow Mountain Sandstones,906000.0,4300.0,150.0,450.0
Nugget and Crow Mountain Sandstones Deep,436000.0,16800.0,150.0,450.0
Cloverly Formation,1546000.0,7000.0,100.0,160.0
Cloverly Formation Deep,1593000.0,17000.0,100.0,160.0
Muddy Sandstone,1526000.0,7000.0,36.0,60.0
Muddy Sandstone Deep,1527000.0,17000.0,36.0,60.0
Frontier Sandstone,1405000.0,6500.0,135.0,750.0
Frontier Sandstone Deep,1411000.0,20500.0,160.0,675.0
Sussex and Shannon Sandstone Members,1312000.0,7000.0,200.0,2700.0
Sussex and Shannon Sandstone Members Deep,954000.0,16000.0,200.0,2700.0
Fort Union and Lance Formations,1109000.0,6000.0,1900.0,5500.0
