Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Endicott Group - LCU Truncation,54000.0,11200.0,350.0,1000.0
Endicott Group - Kayak Shale,365000.0,11500.0,175.0,460.0
Lower Ellesmerian ,9023000.0,9000.0,600.0,1500.0
Lower Ellesmerian Deep,28567000.0,19000.0,580.0,2900.0
Lower Ellesmerian - LCU Truncation,246000.0,10000.0,1050.0,1300.0
Beaufortian and Upper Ellesmerian,17209000.0,7400.0,225.0,3000.0
Lower Torok Formation,24160000.0,8000.0,1800.0,3500.0
Upper Torok Formation,3700000.0,8000.0,1000.0,2000.0
Nanushuk Formation,1772000.0,3900.0,325.0,540.0
Tuluvak Formation,887000.0,4100.0,360.0,600.0
Lower Seabee Formation,230000.0,5800.0,210.0,425.0
Middle Schrader Bluff Formation,1355000.0,5275.0,60.0,100.0
Canning Formation,317000.0,3900.0,200.0,400.0
Staines Tongue,1966000.0,5501.0,900.0,2000.0
