Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Minnelusa and Tensleep Sandstones,13891000.0,9000.0,100.0,400.0
Crow Mountain Sandstone,1484000.0,5000.0,27.0,90.0
Lower Sundance Formation,11533000.0,6677.0,40.0,50.0
Fall River and Lakota Formations,14240000.0,7650.0,96.0,160.0
Muddy Sandstone,13943000.0,7700.0,30.0,60.0
Frontier Sandstone and Turner Sandy Member,10407000.0,7000.0,120.0,850.0
Sussex and Shannon Sandstone Members,11476000.0,4500.0,95.0,135.0
Parkman Sandstone Member,8335000.0,6000.0,175.0,350.0
Teapot Sandstone Member,5941000.0,6500.0,90.0,150.0
Teckla Sandstone Member,4655000.0,6000.0,110.0,225.0
